	PVin	NBh	NBhū	NV	NM	NSV	NSu	NTD	VVṛ	NK	NVTṬ	ĀTV	PVV
1	1.38.3												
2					8,2.360.250								
3						4.2.17–4.2.19							
4							2.2.81d.3–2.2.81d.5						
5								4.2.7					
6								2.1.39					
7			104,6^2										
8								2.1.35^2					
9									12				
10										60.3			
11											2,1.32.1^7		
12								2.1.38^4					
13		4.2.24.3											
14							2.2.76cd.1–2.2.76cd.2						
15			110,12										
16											2,1.32.1^10		
17			106,3										
18		4.2.16.1–4.2.16.3											
19												617.5–617.11	
20		2.1.36.7											
21									14^2				
22										59.4^2			
23													1.90,0–1.90,1
24							2.2.79d.3						
25				2.1.31^10									
26				2.1.33^30									
27				2.1.32^4									
28				2.1.33^31									
29									11				
30		2.1.36.4											
31				4.2.26									
32						2.1.36							
33								4.2.12					
34				2.1.36^3									
35				2.1.33^33									
36				4.2.25^3									
37			123,21										
38											2,1.36.1^1		
39											4,2.25.1^2		
40								2.1.35^3					
41				2.1.31^3									
42				1.1.14^14									
43			130,15^2										
44						4.2.26							
45		2.1.36.3											
46								4.2.15					
47		2.1.35.3–2.1.35.4											
48									13				
49				4.1.13									
50								4.2.10					
