<1>

{1,1}

[1,1.1]	athāto dharmajijñāsā.
[1,1.2]	codanālakṣaṇo 'rtho dharmaḥ.
[1,1.3]	tasya nimittaparīṣṭiḥ.
[1,1.4]	satsaṃprayoge puruṣasyendriyāṇāṃ buddhijanma tatpratyakṣam animittaṃ vidyamānopalambhanatvāt.
[1,1.5]	autpattikas tu śabdasyārthena saṃbandhas tasya jñānam upadeśo 'vyatirekaś cārthe 'nupalabdhe tatpramāṇaṃ bādarāyaṇasyānapekṣatvāt.
[1,1.6]	karmaike tatra darśanāt.
[1,1.7]	asthānāt.
[1,1.8]	karoti śabdāt.
[1,1.9]	sattvāntare ca yaugapadyāt.
[1,1.10]	prakṛti vikṛtyoś ca.
[1,1.11]	vṛddhiś ca kartṛbhūmnāsya.
[1,1.12]	samaṃ tu tatra darśanam.
[1,1.13]	sataḥ paramadarśanaṃ viṣayānāgamāt.
[1,1.14]	prayogasya param.
[1,1.15]	ādittyavadyaugapadyam.
[1,1.16]	varṇāntaram avikāraḥ.
[1,1.17]	nādavṛddhiparā.
[1,1.18]	nityas tu syād darśanasya parārthatvāt.
[1,1.19]	sarvatra yaugapadyāt.
[1,1.20]	saṃkhyābhāvāt.
[1,1.21]	anapekṣatvāt.
[1,1.22]	prakhyābhāvāc ca yogasya.
[1,1.23]	liṅgadarśanāc ca.
[1,1.24]	uttpattau vāvacanāḥ syur arthasyātan nimittatvāt.
[1,1.25]	tadbhūtānāṃ kriyārthena sāmāmnāyo 'rthasya tannimittattvāt.
[1,1.26]	loke sanniyamāt prayogasannikarṣaḥ syāt.
[1,1.27]	vedāṃś caike sannikarṣaṃ puruṣākhyāḥ.
[1,1.28]	anityadarśanāc ca.
[1,1.29]	uktaṃ tu śabdapūrvatvam.
[1,1.30]	ākhyā pravacanāt.
[1,1.31]	parantu śrutisāmānyamātram.
[1,1.32]	kṛte vā viniyogaḥ syāt karmaṇaḥ saṃbandhāt.

{1,2}

[1,2.1]	āmnāyasya kriyārthatvād ānarthakyam atadarthānāṃ tasmād anityam ucyate.
[1,2.2]	śāstradṛṣṭāvirodhāc ca.
[1,2.3]	tathāphalābhāvāt.
[1,2.4]	anyānarthakyāt.
[1,2.5]	abhāgipratiṣedhāc ca.
[1,2.6]	anityasaṃyogāt.
[1,2.7]	vidhinā tv ekavākyatvāt stutyarthena vidhīnāṃ syuḥ.
[1,2.8]	tulyaṃ ca sāmpradāyikam.
[1,2.9]	āptā cānupapattiḥ prayoge hi virodhaḥ syāc chabdārthas tv aprayogabhūtas tasmād upapadyeta.
[1,2.10]	guṇavādas tu.
[1,2.11]	rūpāt prāyāt.
[1,2.12]	dūrabhūyastvāt.
[1,2.13]	aparādhāt kartuś ca putradarśanam.
[1,2.14]	ākālikepsā.
[1,2.15]	vidyāpraśaṃsā.
[1,2.16]	sarvatvam ādhikārikam.
[1,2.17]	phalasya karmaniṣpattes teṣāṃ lokavatparimāṇataḥ phalaviśeṣaḥ syāt.
[1,2.18]	antyayor yathoktam.
[1,2.19]	vidhir vā syād apūrvatvād vādamātrama hy anarthakam.
[1,2.20]	lokavad iti cet.
[1,2.21]	na pūrvatvāt.
[1,2.22]	uktaṃ tu vākyaśeṣatvam.
[1,2.23]	vidhiś cānarthakaḥ kvacit tasmāt stutiḥ pratīyeta tatsāmānyād itareṣu tathātvam.
[1,2.24]	prakaraṇe sambhavannapakarṣo na kalpyeta vidhyānarthakyaṃ hi taṃ prati.
[1,2.25]	vidhau ca vākyabhedaḥ syāt.
[1,2.26]	hetur vā syād arthavatvopapattibhyām.
[1,2.27]	sthitis tu śabdapūrvatvādacodanāca tasya.
[1,2.28]	vyarthe stutir anyāyyeti cet.
[1,2.29]	arthas tu vidhiśeṣatvād yathā loke.
[1,2.30]	yadi ca hetur avatiṣṭheta nirdeśāt sāmānyād iti ced avasthā vidhīnāṃ syāt.
[1,2.31]	tadarthaśāstrāt.
[1,2.32]	vākyaniyamāt.
[1,2.33]	buddhiśāstrāt.
[1,2.34]	avidyamānavacanāt.
[1,2.35]	acetane 'rthabandhanāt.
[1,2.36]	arthavipratiṣedhāt.
[1,2.37]	svādhyāyavadvacanāt.
[1,2.38]	avijñeyāt.
[1,2.39]	anityasaṃyogān mantrārthānarthakyam.
[1,2.40]	aviśiṣṭas tu vākyārthaḥ.
[1,2.41]	guṇārthena punaḥ śrutiḥ.
[1,2.42]	parisaṃkhyā.
[1,2.43]	arthavādo vā.
[1,2.44]	aviruddhaṃ param.
[1,2.45]	saṃpraiṣe karmagarhānupālambhaḥ saṃskārattvāt.
[1,2.46]	abhidhāne 'rthavādaḥ.
[1,2.47]	guṇād apratiṣedhaḥ syāt.
[1,2.48]	vidyāvacanam asaṃyogāt.
[1,2.49]	sataḥ paramavijñānam.
[1,2.50]	uktaś cānityasaṃyogaḥ.
[1,2.51]	liṅgopadeśaś ca tadarthavat.
[1,2.52]	ūhaḥ.
[1,2.53]	vidhiśabdāś ca.

{1,3}

[1,3.1]	dharmasya śabdamūlatvād aśabdam anapekṣaṃ syāt.
[1,3.2]	api vā kartṛsāmānyāt pramāṇam anumānaṃ syāt.
[1,3.3]	virodhe tv anapekṣyaṃ syād asati hy anumānam.
[1,3.4]	hetudarśanāc ca.
[1,3.5]	śiṣṭākope 'viruddham iti cet.
[1,3.6]	na śāstraparimāṇatvāt.
