[1,1]	  namo mañjunāthāya ॥  
[1,2]	      parokṣārthapratipatter anumānāśrayatvāt saṅkṣepatas tadvyutpādanārtham idam ārabhyate ॥ 
[1,6]	    pakṣo dharmī, avayave samudāyopacarāt । prayojanābhāvād anupacāra iti cet, na, sarvadharmidharmapratiṣedhārthatvād upacārasya । evaṃ hi cākṣuṣatvādi parihṛtaṃ bhavati । dharmavacanenāpi dharmāśrayasiddhau parāśrayatvād dharmasya dharmavacanāt pratyāsatteḥ sādhyadharmisiddhir iti cet, na, dṛṣṭāntadharmiṇo 'pi pratyāsatteḥ । tadaṃśavyāptyā dṛṣṭāntadharmiṇi sattvasiddher dharmidharmavacanāt sādhyadharmiparigrahaḥ । siddhe punarvacanaṃ niyamārtham āśaṅkyeta । sajātīya eva sattvam iti siddhe 'pi tadabhāve vyatireke sādhyābhāve 'sattvavacanavad dharmidharmavacanaṃ siddhe 'pi dṛṣṭāntadharmiṇi bhāve tadaṃśavyāptivacanāt tatraiva bhāvaniyamārtham āśaṅkyeta । tat sāmarthyād arthagatāv upacāramātrāt samānanirdeśāt pratipattigauravaṃ ca parihṛtaṃ bhavati । pakṣasya dharmatve tadviśeṣaṇāpekṣasyānyatrānanuvṛtter asādhāraṇateti cet, na, ayogavyavacchedena viśeṣaṇāt, yathā caitro dhanurdhara iti, nānyayogavyavacchedena, yathā pārtho dhanurdhadara iti ॥  
[2,5]	  tadaṃśas taddharmaḥ ॥  
[2,6]	    vyāptir vyāpakasya tatra bhāva eva, vyāpyasya vā tatraiva bhāvaḥ ॥  
[2,7]	  etenānvayo vyatireko vā yathāsvaṃ pramāṇena niścita ukto veditavyaḥ pakṣadharmaś ca, sarvatra hetāv asatā sādhyadharmeṇa hetor vyāptyasiddheḥ, vyāpakasya vā nivṛttau nivṛttyabhāvād ity anvayavyatirekābhyāṃ niścitābhyāṃ tadaṃśavyāptir niścitā bhavati ॥  
[2,11]	    tatra pakṣadharmasya sādhyadharmiṇipratyakṣato 'numānato vā prasiddhir niścayaḥ, yathā pradeśe dhūmasya śabde vā kṛtakatvasya । sadhūmaṃ hi pradeśam arthāntaraviviktarūpam asādhāraṇātmanā dṛṣṭavataḥ pratyakṣeṇa yathādṛṣṭabhedaparamārthaviṣayaṃ smārtaṃ liṅgajñānam utpadyate ॥  
[2,15]	  tatra tad ādyam asādhāraṇaviṣayaṃ darśanam eva pramāṇam ॥      
[3,1]	    tasmiṃs tathābhūte dṛṣṭe sa yena yenāsādhāraṇas tadasādhāraṇatāṃ tato bhedam abhilapantī smṛtir utpannā pratyakṣabalenātadvyāvṛttiviṣayā yathādṛṣṭākāragrahaṇān na pramāṇam, prāg asādhāraṇaṃ dṛṣṭvā 'sādhāraṇam ity abhilapato 'pūrvārthādhigamābhāvāt, arthakriyāsādhanasya darśanāt, adṛṣṭasya tatsādhanasya punaḥ svabhāvasya vikalpenāpratipatteś cānumānavat । arthakriyā'rthī hi sarvaḥ pramāṇam apramāṇaṃ vā 'nveṣate prekṣāvān । na ca sāmānyaṃ kāñcid arthakriyām upakalpayati svalakṣaṇapratipatterūrdhvaṃ tatsāmarthyotpannavikalpajñānagrāhyam, yathā nīlaṃ dṛṣṭvā nīlam iti jñāne । tad eva hi nīlasvalakṣaṇaṃ tathāvidhasādhyārthakriyākāri । tac ca tenātmanā pratyakṣeṇa dṛṣṭam eva । na ca tatsvalakṣaṇagrahaṇottarakālabhāvino nīlavikalpasya viṣayeṇa nīlasādhyārthakriyā sādhyate । tasmād anadhigatārthaviṣayaṃ pramāṇam ity apy anadhigate svalakṣaṇa iti viśeṣaṇīyam । adhigate svalakṣaṇe tatsāmarthyajanmā vikalpas tadanukārī kāryatas tadviṣayatvāt smṛtir eva na pramāṇam, anadhigatavasturūpānadhigateḥ, vastvadhiṣṭhānatvāt pramāṇavyavasthāyāḥ, arthakriyāyogyaviṣayatvāt tadarthipravṛtteḥ, arthakriyāyogyalakṣaṇatvād vastunaḥ, tato 'pi vikalpāt tadadhyavasāyena vastuny eva pravṛtteḥ, pravṛttau tu vikalpasya pratyakṣeṇābhinnayogakṣematvāt ॥  
[4,4]	  pūrvapratyakṣakṣaṇena kvacid abhinnopayogatvād uttareṣām aprāmāṇyaprasaṅga iti cet, na, kṣaṇaviśeṣasādhyārthavāñchāyāṃ nānāyogakṣematvāt । sādhāraṇe hi kārye na teṣāṃ sāmarthyabhedaḥ, aparāparadhūmapramitasannikṛṣṭāgnivad agnimātrasādhye 'rthe । etena dharmidharmaliṅgādivikalpasya pramāṇapṛṣṭhabhāvinaḥ prāmāṇyaṃ pratyuktam ॥  
[4,9]	    anvayaniścayo 'pi svabhāvahetau sādhyadharmasya vastutas tadbhāvatayā sādhanadharmabhāvamātrānubandhasiddhiḥ । sā sādhyaviparyaye hetor bādhakapramāṇavṛttiḥ, yathā yat sat, tat kṣaṇikam eva । akṣaṇikatve 'rthakriyāvirodhāt tallakṣaṇaṃ vastutvaṃ hīyata iti ।  
[4,13]	  kāryahetau kāryakāraṇabhāvasiddhiḥ, yathedam asyopalambha upalabdhilakṣaṇaprāptam anupalabdham upalabhyate satsv apy anyeṣu hetuṣv asyābhāve na bhavatīti tadbhāve bhāvo 'bhāve 'bhāvaś ca, pratyakṣānupalambhasādhanaḥ kāryakāraṇabhāvaḥ, tasya siddhiḥ । kāryakāraṇabhāva eva hy arthāntarasyaivaṃ syāt - yatra dhūmaḥ, tatrāvaśyam agnir iti । agnibhāva eva hi bhāvo dhūmasya tatkāryatvam iti ।  
[5,5]	  anupalabdhāv apy asadvyavahārasyopalabdhilakṣaṇaprāptānupalabdhimātravṛttisādhanam anvayaniścayaḥ, nimittāntarābhāvopadarśanāt ॥  
[5,7]	    vyatirekaniścayo 'pi kāryasvabhāvahetvoḥ kāryakāraṇavyāpyavyāpakabhāvasiddhau kāraṇavyāpakānupalabdhibhyāṃ dṛśyaviṣayābhyāṃ sādhyābhāve hetvabhāvasiddhiḥ, uddiṣṭaviṣayasyābhāvasyopadarśane 'nupalabdhilakṣaṇaprāptasyānyathā kvacid abhāvāsiddheḥ । anuddiṣṭaviṣayaṃ punaḥ sādhyābhāve 'bhāvakhyāpanaṃ pratibandhamātrasiddhau sidhyatīti na tatra dṛśyaviṣayatā'nupalabdher vyatirekasādhane 'pekṣyate ॥  
[5,13]	  vyatirekaniścayo 'nupalabdhāv upalabdhilakṣaṇaprāptāt sato 'nupalambhābhāvadarśanam ॥  
[5,15]	    etallakṣaṇas tridhaiva sa hetus triprakāra eva - svabhāvaḥ kāryam anupalabdhiś ceti, yathā'nitye kasmiṃścid gamye sattvam agnimati pradeśe dhūmo 'bhāve copalabdhilakṣaṇaprāptasyānupalabdhir iti, asminn eva triprakāre 'vinābhāvaniyamāt । yathoktā vyāptir avinābhāvaḥ pakṣadharmasya । na sa trividhād dhetor anyatrāstīty atraiva niyata ucyate ॥  
