[1,i]	om namaḥ vīttarāgāya 
[1,ii_7,ii]	jayanti jāti vyasana prabandha prasūti hetoḥ jagataḥ vijetuḥ rāga ādi arāteḥ sugatasya vācaḥ manastamata anavama ādadhānāḥ samyak jñāna pūrvikā ityādinā asya prakaraṇasya abhidheya prayojanam ucyate dvividham hi prakaraṇa śarīram śabdaḥ arthaḥ ca tatra śabdasya sva abhidheya pratipādanam eva prayojanam na anyat atas tat na nirūpyate 
[7,iii_8,ii]	abhidheyam tu yadi niṣprayojanam syāt tadā tad pratipattaye śabda sandarbhaḥ api na ārambhaṇīyaḥ syāt yathā kāka danta prayojana abhāvāt na tad parīkṣā ārambhaṇīyā prekṣāvatā tasmāt asya prakaraṇasya ārambhaṇīya tvam darśayatā adhiya prayojanam anena ucyate yasmāt samyak jñāna pūrvikā sarva puruṣa artha siddhiḥ tasmāt tad pratipattaye idam ārabhyate iti ayam atra vākya arthaḥ 
[8,iii_10,i]	atra ca prakaraṇa abhidheyasya samyak jñānasya sarva puruṣa artha siddhi hetu tvam prayojanam uktam masmin ca arthaḥ ucyamāne sambandha prayojana abhidheyāni uktāni bhavanti tathā hi puruṣa artha upayogi samyak jñānam vyutpādayitavyam anena prakaraṇena iti bruvatā samyak jñānam asya śabda sandarbhasya abhidheyam tad vyutpādanam prayojanam prakaraṇam ca idam apāyaḥ vyutpādanasya iti uktam bhavati 
[10,ii]	tasmāt abhidheya bhāga pra yojana abhidhāna sāmarthyāt sambandha ādīni uktāni bhavanti na tu idam ekam dhākyam sambandham abhidheyam prayojanam ca vaktum sākṣāt samartham ekam tu vadat trayam sāmarthyāt darśayati tatra tat iti abhidheya padam vyutpādyate iti prayojana padam prayojanam ca atra vaktuḥ prakaraṇa karaṇa vyāpārasya cintyate śrotuḥ ca śravaṇa vyāpārasya 
[11,i]	tathā hi sarve prekṣāvantaḥ pravṛtti prayojanam anviṣya pravarttante tatas ca ācāryeṇa prakaraṇam kim artham kṛtam śrotṛbhiḥ ca kim artham śrūyate iti saṃśaye vyutpādanam prayojanam abhidhīyate samyak jñānam vyutpadyamānānām ātmānam vyutpādakam karttum prakaraṇam idam kṛtam śiṣyaiḥ ca ācārya prayuktām ātmanaḥ vyutpattim iccha dibhaḥ prakaraṇam idam śrūyate iti prakaraṇa karaṇa śravaṇayoḥ prayojanam vyutpādanam 
[12,i_13,ii]	sambandha pradarśana padam tu na vidyate sāmarthyāt eva tu sa pratipattavyaḥ prekṣāvatā hi samyak jñānava vyutpādanāya prakaraṇam idam ārabdhavatā ayam eva upāyo na anyaḥ iti darśitaḥ eva upāya upeya bhāvaḥ prakaraṇa prayojanayoḥ sambandhaḥ iti nanu ca prakaraṇa śravaṇāt prāk uktāni api abhidheya ādīni pramāṇa abhāvāt prekṣāvadbhiḥ na gṛhyante tat kim etaiḥ ārambha pradeśe uktaiḥ satyam aśrute prakaraṇe kathitāni api na niścīyante ukteṣu tu apramāṇakeṣu api abhidheya ādiṣu saṃśayaḥ utpadyate saṃśayāt ca pravarttante artha saṃśayaḥ api hi pravṛtti aṅgam prekṣāvatām anartham saṃśayaḥ api nivṛtti aṅgam atas eva śāstra kāreṇa eva pūrva sambandha ādīni yujyante vaktum 
[14,i]	vyākhyātṛṇām hi vacanam krīḍā ādi artham anyathā api sambhāvyate śāstra kṛtām tu prakaraṇa prārambhe na viparīta abhidheya ādi abhidhāne prayojanam utpaśyāmaḥ na api pravṛttim atas teṣu saṃśayaḥ yuktaḥ anukteṣu tu pratipattṛbhiḥ niṣprayojanam abhidheyam saṃbhāvyetā asya prakaraṇasya kāka danta parīkṣāyāḥ iva aśakya anuṣṭhānam vā jvara hara takṣaka cūḍā ratna alaṅkāra upadeśa vat anabhimatam vā prayojanam mātṛ vivāha krama upadeśa vat atas vā prakaraṇāt laghutaraḥ upāyaḥ prayojanasya anupāyaḥ eva vā prakaraṇam sambhāvyeta 
[15,i_17,i]	etāsu ca anartha sambhāvanāsu ekasyām api anartha sambhāvanāyām na prekṣāvantaḥ pravartante abhidheya ādiṣu tu ukteṣu artha saṃbhāvanā anartha sambhāvana aviruddhāḥ utpadyate tayā prekṣāvantaḥ pravartante iti prekṣāvatām pravṛttanyaṅgam artha sambhāvanām kartum sambandha ādīni abhidhīyante iti sthitam avisaṃvādakam jñānam samyak jñānam 
[17,ii]	loke ca pūrvam upadarśitam artham prāpayan saṃvādakaḥ ucyate tadvat jñānam api svayam pradarśitam artham prāpayat saṃvādakam ucyate pradarśite ca arthe pravarttaka tvam eva prāpaka tvam na anyat tathā hi na jñānam janayat artham prāpayati api tu arthe puruṣam pravarttayat prāpayati artham pravarttaka tvam api pravṛtti viṣaya pradarśaka tvam eva na hi puruṣam haṭhāt pravarttayitu śaknoti vijñānam 
[19,i]	atas eva ca artha adhigatiḥ eva pramāṇa phalam adhigate ca arthe pravartitaḥ puruṣaḥ prāpitaḥ ca arthaḥ tathā ca satyartha adhigamāt samāptaḥ pramāṇa vyāpāraḥ atas eva ca anadhigata viṣayam pramāṇam yena eva hi jñāna na prathamam adhigataḥ arthaḥ tena eva pravarttitaḥ puruṣaḥ prāpitaḥ ca arthaḥ tatra eva ca atha kim anyena jñānena adhikam kāryam atas adhigata viṣayam apramāṇam 
