[1]	ātma khyātiḥ asat khyātiḥ akhyātiḥ khyātiḥ anyathā parīkṣakāṇām vibhrāntau vivādāt sā vivicyate 
[2_4]	asat cakāsti na vyoma kusumam na arthaḥ prakāśate atas dhīḥ tat ākāra iti kecana asaṃbhavi ca yāvat ca tāvat saṃparihīyatām saṃvedya ākāra saṃtyāgaḥ na bhrānti tve avakalpate eka deśa apabādhena kalpamāne ca bādhake na sarva bādhanam yuktam iti nyāya vidaḥ sthitāḥ 
[5_7]	anyaḥ bahis bhāsamānaḥ na antar arhati dhāraṇam asat tā eva varam tasya bhrānti tva anuguṇā hi sā na antar varti tayā bhrāntiḥ asattvena tu sa iṣyate akalpayitvā antar tasmāt asattām khalu acīkḷpad na antarvarti bahis bhāsaḥ bhrāntitva anupapattitaḥ asattvena eva tad kḷptau na pramāṇavatī hi sā 
[8_10]	yathā avabhāsamānasya kalpyā sattā niyogataḥ antarbhāve api ca bahirbhāve bhrāntiḥ na yujyate akhyāteḥ aviśeṣeṇa syāt suṣupte api vibhramaḥ akhyātiḥ khalu tatra api na ca ākhyātiḥ viśiṣyate upālambhasya na padam asataḥ atra prakāśanam atas eva yatas bhrāntiḥ samyak khyātau tathā bhavet 
[11_13]	yujyate na anyathā khyātiḥ niradhiṣṭhāna vibhrame svapne hi niradhiṣṭhānaḥ vibhramaḥ vīta saṃśayaḥ tatra api avartamānam ced gṛhyate vartamāna vat avartamānasya asattā kha puṣpāt na viśiṣyate atyantān anubhūtānām paraspara parāṇu dām dṛṣṭeḥ ca āvartamānasya na khyānam vartamāna vat 
[14_16]	khapuṣpa tulye kā khyātiḥ nīrūpeṇa eva bhāsanāt tat api vyavahāra aṅgam rūpavat tvena bhāsanāt kalpanāyām api tu evam na asat khyāti vivarjanam prakāra antara saṃsargaḥ nanu asan eva bhāsate tasmāt asataḥ eva idam rūpavat tvena bhāsanam avaśya kalpanīya tvāt kalpanāyāḥ ca lāghavāt 
[17_19]	prāk tattva jñāna saṃskāraḥ tad prabodhaḥ sa kāraṇaḥ smarāmi iti pramoṣaḥ sa hetuḥ indriya yoginaḥ bhrāntau saha akṣaiḥ manasaḥ duṣṭatā antar vivartitā kāma prakarṣa maraṇa mūrcchā śoka āmaya ādiṣu ucchedakeṣu bahulam saṃskārasya anuvartanam para pakṣeṣu kalpyāni bhūyiṣṭhāni iti dṛśyate 
[20_23]	sarva saṃskāra vicchedi maraṇa antarite asmṛteḥ janma antara anubhūtam ca na smaryate iti sthitam manda saṃskāra sahakṛt ucchede tena vā vinā doṣaiḥ kṣatam manaḥ kāryi praṇidhāna ādi varjitam doṣaiḥ avikṛtam svastham praṇidhāna ādi saṃskṛtam na kārya vat jāgarāyām aho naya vidām paraḥ 
[24_27]	doṣa kṣatiḥ kārya śakti hāni rūpā ca vidyate atirekaḥ ca kāryasya iti aho nyāya viveki tā adhyārope bhavet gauṇī vāhīke gomatiḥ yathā na saṃvid ānuguṇyam syāt na viveka matiḥ yadi akhyātiḥ api saṃvittim na eva anveti yatas matiḥ sāmānādhikaraṇyena rūpyam etat iti sthitā tasmāt vibhramaḥ eva ayam iti yuktaḥ viniścayaḥ na saṃvid anusāreṇa nimittam tasya yujyate 
[28_30]	atas anirvacanīya tvam varam brahma vidaḥ viduḥ avidyāyāḥ avidyā tvam anyathā parihīyate sattve na mithyā śūnya tve durnirūpam prakāśanam sat asadbhyām anirvācyām tām avidyām pracakṣate vastunaḥ anveṣaṇā tasyām bāhya abhyantara vartinaḥ na yujyate yatra tatra vedya vastuni tad kṣateḥ 
[31_33]	nāma rūpa prapañcaḥ ayam avidyā eva ca varṇyate anyasya tu anyathā khyātau na prapañca vyapahnavaḥ akhyātau śūnyam eva syāt prapañcaḥ kiṃnibandhanaḥ aprapañcaḥ sa prapañca rūpaḥ bhāti iti yujyate asphuṭa grahaṇe kāmam mā bhasi sphuṭam ātmanā avidyamāne tu adhyasye vaiśvarūpyam vṛthā akṛtam 
[34_36]	citau vicitra ākārāyām prapañca ātma tayā eva hi anirmokṣaḥ tathā ca syāt athavā anitya tā patet aneka ākāra vibhrāntau gandharvanagara ādiṣu ākārāḥ vyaktam ekasyāḥ dhiyaḥ asatyāḥ cakāsati na bhūtam cetasaḥ rūpam na adhyāra upāsphuṭa grahau vibhrameṣu vivarta tvam atas brahma vidām matam 
[37_39]	asataḥ bhāsanā yogāt virodhāt saṃvidaḥ aparaḥ avocat nipuṇam anyaḥ vibhramam samyak agraham na kiṃcid bhāsate ca iti viruddham iva dṛśyate bhāsane rūpavat tvena na asat saṃvid virodhataḥ anyasya api anyathā ākhyātiḥ atas eva na yujyate anyat prakāśate ca anyat grāhyam iti ati durghaṭam 
[40_42]	ālambanam na hetu tva mātrāt akṣe api tat yatas ālambanam na hetu tva mātreṇa vyavatiṣṭhate yadi ālambana rūpāt ca dhīḥ anyat avabhāsayet tatas anālambanā eva syāt tasya tad lakṣaṇa cyuteḥ tathā ca tad svabhāvāyāḥ na artha tattva viniścayaḥ sa apekṣāyāḥ api grāhya hīnā sā ced avedikā 
[44_46]	smṛti tva āśaṅkayā na atra vartamāne na niścayaḥ viveka agrahaṇam yasmāt dhetu bhāve na yujyate hetu upaghāte khalu tat tad abhāve sphuṭa grahaḥ yatnena anupalabdheḥ ca tad abhāve ca niścayaḥ sadṛśa adṛṣṭa cintā ādyāḥ smṛti bījasya bodhakāḥ smarāmi iti ca pramoṣāt prāyeṇa adhyakṣa vibhramaḥ iti pūrva pakṣaḥ 
[47]	ekānta sattve kā bhrāntiḥ asattve kim prakāśatām dvaya anuguṇyāt vṛddhānām saṃmatā khyātiḥ anyathā 
[48_50]	yatra na prathate kiṃcid tatra tāvat na vibhramaḥ suṣuptau iva bhūt chāyā tamaḥ bhāvaḥ yathā īkṣyate dvayoḥ ekasya vā khyātiḥ asamyak vibhramaḥ mataḥ tatra kā iyam asamyaktā vijñāna stham apāṭavam atha sarva prakārāṇām agrahaḥ kasyacid grahaḥ vastunaḥ atad prakārasya tathā khyātiḥ tu na iṣyate 
[51_53]	tatra dūra sthite sūkṣme bhavati apaṭu darśanam sāmānya mātra khyātiḥ vā na bhramaḥ ca pratīyate na ca sarva ātmanā arthasya jñānam kiṃcana bodhakam sarva vijñāna mithyātvam āpannam punar anyathā atas na āvartamāna tva ajñānāt svapna matiḥ mṛṣā vartamāna tva bodhāt tu tathā ekatva adhiropaṇāt 
