	PVin	PVA	NBh	NBhū	NV	ViṃśV	PV	TriṃśBh	AvNir	PVSV	NM	ŚV
1						87,i_89,ii						
2	I,034,i											
3					478,04_478,05							
4		553,xv_554,ii										
5					205,20^2							
6				132,2								
7							2.083ab_2.085cd					
8				111,20								
9			1049,iii_1050,i									
10			1047,i_1047,ii									
11			1046,i_1046,iii									
12								44,iii_44,vi				
13					473,01_473,02							
14						97,i_101,iii						
15						91,i_91,iv						
16			0477,i									
17									08,v_09,i			
18					482,04_482,05							
19						93,i_95,i						
20			1045,iii_1045,v									
21										052,18		
22					235,01							
23									02,v_03,ii			
24					206,21^1							
25											II,514,i	
26									06,iii			
27					217,04							
28				104,6^2								
29									02,i_02,ii			
30					200,14^2_201,10							
31											I,515,ii	
32									06,vi			
33					488,04_488,05							
34					478,12_478,13							
35			0509,i_0509,ii									
36					218,03							
37												5,5.182cd_5,5.185cd
38					473,10_473,11							
39			0470,i_0470,ii									
40			1048,i_1048,ii									
41										077,05_077,15		
42		258,vii										
43										058,19_058,22		
44			0463,i_0467,i									
45				112,13								
46				113,21								
47		091,ix										
48					474,05_474,06							
49									07,i			
50					304,20							
